Rebuilding ListInfoManager Singleton...  ... done
Scan Request pixel_13202                :: entry=2013-03-18 :: expire=2013-07-01 :: active=true
Scan Request pixel_13203                :: entry=2013-01-07 :: expire=2013-04-22 :: active=false
Scan Request pixel_13205                :: entry=2013-03-18 :: expire=2013-07-01 :: active=true
Scan Request pixel_13209                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_13230                :: entry=2013-03-11 :: expire=2013-06-24 :: active=true
Scan Request pixel_13232                :: entry=2013-03-11 :: expire=2013-06-24 :: active=true
Scan Request pixel_13251                :: entry=2013-03-18 :: expire=2013-07-01 :: active=true
Scan Request pixel_13255                :: entry=2013-03-18 :: expire=2013-07-01 :: active=true
Scan Request pixel_13262                :: entry=2012-10-30 :: expire=2013-02-12 :: active=false
Scan Request pixel_13264                :: entry=2012-10-30 :: expire=2013-02-12 :: active=false
Scan Request pixel_13277                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_13284                :: entry=2013-03-18 :: expire=2013-07-01 :: active=true
Scan Request pixel_13293                :: entry=2013-03-18 :: expire=2013-07-01 :: active=true
Scan Request pixel_13300                :: entry=2013-02-22 :: expire=2013-06-07 :: active=true
Scan Request pixel_13306                :: entry=2013-03-18 :: expire=2013-07-01 :: active=true
Scan Request pixel_13307                :: entry=2013-04-04 :: expire=2013-07-18 :: active=true
Scan Request pixel_13325                :: entry=2013-04-04 :: expire=2013-07-18 :: active=true
Scan Request pixel_13326                :: entry=2013-01-18 :: expire=2013-05-03 :: active=false
Scan Request pixel_13328                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_13329                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_13330                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_13331                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_13332                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_13333                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_13334                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_13335                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_13336                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_13337                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_13338                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_13339                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_13340                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_13341                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_13343                :: entry=2013-01-23 :: expire=2013-05-08 :: active=false
Scan Request pixel_13346                :: entry=2012-12-19 :: expire=2013-04-03 :: active=false
Scan Request pixel_13351                :: entry=2013-04-04 :: expire=2013-07-18 :: active=true
Scan Request pixel_13355                :: entry=2013-03-15 :: expire=2013-06-28 :: active=true
Scan Request pixel_13364                :: entry=2013-04-04 :: expire=2013-07-18 :: active=true
Scan Request pixel_13369                :: entry=2013-03-15 :: expire=2013-06-28 :: active=true
Scan Request pixel_13370                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_13396                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_13485                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_13486                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
