id_campaign	id_domain	id_date	id_hour	id_lineitem	id_creative	id_exchange	id_country	id_currcode	id_content	id_utw	ENTRY_DATE	HAS_CC	RAND99	sum(num_bids)	sum(num_clicks)	sum(num_impressions)	sum(num_conversions)	sum(num_conv_post_view)	sum(num_conv_post_click)	sum(imp_bid_amount)	sum(imp_cost)
1666	24hplumber.com	2012-10-15	6	1887966392	192981	4	233	0	4	94	2012-10-15	0	81	1	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887966392	192983	4	233	0	4	94	2012-10-15	0	66	1	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887966392	192984	4	233	0	4	94	2012-10-15	0	99	2	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887966392	192987	4	233	0	4	94	2012-10-15	0	91	2	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887966392	192990	4	233	0	4	94	2012-10-15	0	95	1	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887966392	192992	4	233	0	4	94	2012-10-15	0	67	1	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887966392	192999	4	233	0	4	94	2012-10-15	0	97	1	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887966392	193005	4	233	0	4	94	2012-10-15	0	43	2	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887966392	193007	4	233	0	4	94	2012-10-15	0	24	1	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887966392	193011	4	233	0	4	94	2012-10-15	0	95	1	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887966392	193014	4	233	0	4	94	2012-10-15	0	49	1	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887966392	193017	4	233	0	4	94	2012-10-15	0	63	1	0	0	0	0	0	0	0
1666	6speedonline.com	2012-10-15	6	1887963154	193020	4	233	0	4	0	2012-10-15	0	59	1	0	0	0	0	0	0	0
1666	6speedonline.com	2012-10-15	6	1887963154	193026	4	233	0	4	0	2012-10-15	0	49	1	0	0	0	0	0	0	0
1666	6speedonline.com	2012-10-15	6	1887963154	193038	4	233	0	4	0	2012-10-15	0	68	1	0	0	0	0	0	0	0
1666	9to5mac.com	2012-10-15	6	1887962748	192969	4	233	0	4	46	2012-10-15	0	16	3	0	1	0	0	0	0.003	0.00281
1666	9to5mac.com	2012-10-15	6	1887962748	192970	4	233	0	4	46	2012-10-15	0	80	3	0	1	0	0	0	0.003	0.00278
1666	9to5mac.com	2012-10-15	6	1887964488	193044	4	233	0	4	7	2012-10-15	0	93	1	0	0	0	0	0	0	0
1666	9to5mac.com	2012-10-15	6	1887964488	193045	4	233	0	4	7	2012-10-15	0	63	1	0	0	0	0	0	0	0
1666	9wsyr.com	2012-10-15	6	1887962748	192969	4	233	0	4	46	2012-10-15	0	91	6	0	2	0	0	0	0.006	0.006
1666	9wsyr.com	2012-10-15	6	1887966392	192987	4	233	0	4	94	2012-10-15	0	34	1	0	0	0	0	0	0	0
1666	9wsyr.com	2012-10-15	6	1887966392	193002	4	233	0	4	94	2012-10-15	0	84	2	0	0	0	0	0	0	0
1666	9wsyr.com	2012-10-15	6	1887966392	193011	4	233	0	4	94	2012-10-15	0	18	1	0	0	0	0	0	0	0
1666	abc.com	2012-10-15	6	1887962759	193047	4	233	0	4	4	2012-10-15	0	38	2	0	1	0	0	0	0.0035	0.002638
