excname	exc_id	iab_id
contextweb	311	175
contextweb	312	252
contextweb	484	177
contextweb	313	462
contextweb	314	391
contextweb	315	168
contextweb	316	390
contextweb	317	393
contextweb	318	255
contextweb	319	495
contextweb	320	569
contextweb	321	394
contextweb	322	260
contextweb	323	352
contextweb	324	251
contextweb	325	723
contextweb	446	411
contextweb	326	179
contextweb	328	165
contextweb	329	163
contextweb	330	259
contextweb	465	174
contextweb	331	258
contextweb	332	667
contextweb	327	667
contextweb	333	392
contextweb	334	660
contextweb	335	261
contextweb	336	718
contextweb	337	719
contextweb	338	649
contextweb	339	640
contextweb	340	266
contextweb	341	256
contextweb	342	191
contextweb	343	257
contextweb	344	645
contextweb	345	167
contextweb	26	41
contextweb	346	94
contextweb	347	220
contextweb	348	169
contextweb	349	340
contextweb	7	3
contextweb	81	3
contextweb	87	487
contextweb	88	488
contextweb	89	309
contextweb	90	599
contextweb	91	242
contextweb	92	302
contextweb	93	750
contextweb	94	110
contextweb	95	113
contextweb	96	298
contextweb	97	297
contextweb	98	627
contextweb	99	629
contextweb	100	201
contextweb	101	489
contextweb	102	631
contextweb	103	740
contextweb	104	508
contextweb	105	509
contextweb	106	484
contextweb	107	486
contextweb	108	388
contextweb	109	230
contextweb	110	253
contextweb	111	751
contextweb	112	254
contextweb	113	265
contextweb	114	389
contextweb	115	271
contextweb	116	791
contextweb	117	485
contextweb	118	510
contextweb	119	772
contextweb	120	333
contextweb	121	332
contextweb	122	490
contextweb	27	68
contextweb	350	502
contextweb	351	801
contextweb	352	231
contextweb	354	805
contextweb	355	119
contextweb	356	78
contextweb	357	79
contextweb	358	810
contextweb	366	120
contextweb	367	811
contextweb	368	815
contextweb	369	234
contextweb	370	821
contextweb	371	820
contextweb	372	823
contextweb	373	825
contextweb	374	511
contextweb	375	118
contextweb	376	827
contextweb	377	835
contextweb	378	840
contextweb	379	630
contextweb	380	845
contextweb	381	140
contextweb	382	602
contextweb	383	395
contextweb	384	829
contextweb	20	26
contextweb	276	370
contextweb	277	471
contextweb	278	657
contextweb	23	19
contextweb	299	742
contextweb	300	273
contextweb	21	55
contextweb	279	314
contextweb	280	307
contextweb	281	311
contextweb	282	303
contextweb	283	304
contextweb	384	312
contextweb	285	313
contextweb	286	306
contextweb	287	305
contextweb	288	308
contextweb	435	245
contextweb	436	245
nexage	1	2
nexage	2	45
nexage	3	11
nexage	4	95
nexage	5	99
nexage	6	15
nexage	7	43
nexage	8	70
nexage	9	62
nexage	10	10
nexage	11	17
nexage	12	13
nexage	13	5
nexage	14	16
nexage	15	171
nexage	16	65
nexage	17	23
nexage	18	41
nexage	19	3
nexage	20	68
nexage	21	26
nexage	22	19
nexage	23	55
nexage	24	99
openx	2	2
openx	611	2
openx	204	86
openx	1504	86
openx	201	180
openx	219	27
openx	1509	27
openx	1510	185
openx	1927	185
openx	205	35
openx	207	35
openx	203	37
openx	208	37
openx	1928	37
openx	1929	37
openx	217	39
openx	3	45
openx	304	90
openx	616	90
openx	305	137
openx	303	470
openx	312	470
openx	307	280
openx	302	238
openx	318	144
openx	319	780
openx	311	272
openx	301	151
openx	321	635
openx	322	498
openx	323	329
openx	317	399
openx	324	482
openx	4	11
openx	412	11
openx	414	24
openx	415	47
openx	416	250
openx	417	398
openx	418	49
openx	419	46
openx	420	75
openx	421	325
openx	422	156
openx	503	156
openx	423	51
openx	401	25
openx	424	300
openx	5	95
openx	502	121
openx	2315	299
openx	506	555
openx	507	425
openx	504	430
openx	509	432
openx	508	221
openx	510	554
openx	511	507
openx	505	301
openx	1308	301
openx	501	427
openx	23	99
openx	2312	99
openx	32	99
openx	2303	134
openx	2313	360
openx	2302	208
openx	3202	208
openx	2316	369
openx	2304	612
openx	2317	320
openx	3203	575
openx	2309	574
openx	3206	574
openx	2305	387
openx	2319	480
openx	2320	235
openx	2308	135
openx	2318	135
openx	2321	133
openx	2322	401
openx	2314	287
openx	9	15
openx	903	15
openx	905	15
openx	915	518
openx	916	712
openx	917	799
openx	919	747
openx	920	58
openx	903	58
openx	921	59
openx	3510	59
openx	913	59
openx	922	372
openx	923	419
openx	918	403
openx	912	403
openx	14	43
openx	609	43
openx	1428	92
openx	1401	115
openx	1420	115
openx	1421	276
openx	1423	503
openx	1424	400
openx	1426	533
openx	1403	101
openx	1418	199
openx	1430	116
openx	1431	117
openx	1432	535
openx	1416	213
openx	1413	209
openx	1433	103
openx	1434	537
openx	1415	212
openx	1422	212
openx	1435	145
openx	1436	191
openx	1417	202
openx	1437	538
openx	1438	608
openx	1414	87
openx	1404	102
openx	1419	407
openx	11	70
openx	1107	70
openx	1112	705
openx	1113	700
openx	1114	703
openx	1115	790
openx	1101	100
openx	1102	100
openx	1108	334
openx	1104	330
openx	1105	715
openx	1507	715
openx	1109	105
openx	1429	237
openx	1116	792
openx	1117	698
openx	1118	797
openx	1119	793
openx	1121	800
openx	1123	240
openx	1110	529
openx	1111	219
openx	15	62
openx	1520	335
openx	1502	93
openx	1501	342
openx	1521	63
openx	2701	63
